2018-12-25 19:58:39 status half-installed gcc-6-base:amd64 6.3.0-18+deb9u1
2018-12-25 19:58:40 status unpacked gcc-6-base:amd64 6.3.0-18+deb9u1
2018-12-25 19:58:40 status unpacked gcc-6-base:amd64 6.3.0-18+deb9u1
2018-12-25 19:58:40 install libgcc1:amd64 <none> 1:6.3.0-18+deb9u1
2018-12-25 19:58:40 status half-installed libgcc1:amd64 1:6.3.0-18+deb9u1
2018-12-25 19:58:40 status unpacked libgcc1:amd64 1:6.3.0-18+deb9u1
2018-12-25 19:58:40 status unpacked libgcc1:amd64 1:6.3.0-18+deb9u1
2018-12-25 19:58:40 install libc-bin:amd64 <none> 2.24-11+deb9u3
2018-12-25 19:58:40 status half-installed libc-bin:amd64 2.24-11+deb9u3
2018-12-25 19:58:40 status unpacked libc-bin:amd64 2.24-11+deb9u3
2018-12-25 19:58:40 status unpacked libc-bin:amd64 2.24-11+deb9u3
2018-12-25 19:58:41 upgrade libc6:amd64 2.24-11+deb9u3 2.24-11+deb9u3
2018-12-25 19:58:41 status half-configured libc6:amd64 2.24-11+deb9u3
2018-12-25 19:58:41 status unpacked libc6:amd64 2.24-11+deb9u3
2018-12-25 19:58:41 status half-installed libc6:amd64 2.24-11+deb9u3
2018-12-25 19:58:43 status half-installed libc6:amd64 2.24-11+deb9u3
2018-12-25 19:58:43 status unpacked libc6:amd64 2.24-11+deb9u3
2018-12-25 19:58:43 status unpacked libc6:amd64 2.24-11+deb9u3
2018-12-25 19:58:43 install multiarch-support:amd64 <none> 2.24-11+deb9u3
2018-12-25 19:58:43 status half-installed multiarch-support:amd64 2.24-11+deb9u3
2018-12-25 19:58:43 status unpacked multiarch-support:amd64 2.24-11+deb9u3
2018-12-25 19:58:43 status unpacked multiarch-support:amd64 2.24-11+deb9u3
2018-12-25 19:58:44 install grep:amd64 <none> 2.27-2
2018-12-25 19:58:44 status half-installed grep:amd64 2.27-2
2018-12-25 19:58:44 status unpacked grep:amd64 2.27-2
2018-12-25 19:58:44 status unpacked grep:amd64 2.27-2
2018-12-25 19:58:44 install gzip:amd64 <none> 1.6-5+b1
2018-12-25 19:58:44 status half-installed gzip:amd64 1.6-5+b1
2018-12-25 19:58:44 status unpacked gzip:amd64 1.6-5+b1
2018-12-25 19:58:45 status unpacked gzip:amd64 1.6-5+b1
2018-12-25 19:58:45 install hostname:amd64 <none> 3.18+b1
2018-12-25 19:58:45 status half-installed hostname:amd64 3.18+b1
2018-12-25 19:58:45 status unpacked hostname:amd64 3.18+b1
2018-12-25 19:58:45 status unpacked hostname:amd64 3.18+b1
2018-12-25 19:58:45 install init-system-helpers:all <none> 1.48
2018-12-25 19:58:45 status half-installed init-system-helpers:all 1.48
2018-12-25 19:58:45 status unpacked init-system-helpers:all 1.48
2018-12-25 19:58:45 status unpacked init-system-helpers:all 1.48
2018-12-25 19:58:45 install libcap-ng0:amd64 <none> 0.7.7-3+b1
2018-12-25 19:58:45 status half-installed libcap-ng0:amd64 0.7.7-3+b1
2018-12-25 19:58:45 status unpacked libcap-ng0:amd64 0.7.7-3+b1
2018-12-25 19:58:45 status unpacked libcap-ng0:amd64 0.7.7-3+b1
2018-12-25 19:58:45 install libgcrypt20:amd64 <none> 1.7.6-2+deb9u3
2018-12-25 19:58:45 status half-installed libgcrypt20:amd64 1.7.6-2+deb9u3
2018-12-25 19:58:46 status unpacked libgcrypt20:amd64 1.7.6-2+deb9u3
2018-12-25 19:58:46 status unpacked libgcrypt20:amd64 1.7.6-2+deb9u3
2018-12-25 19:58:46 install libgpg-error0:amd64 <none> 1.26-2
2018-12-25 19:58:46 status half-installed libgpg-error0:amd64 1.26-2
2018-12-25 19:58:46 status unpacked libgpg-error0:amd64 1.26-2
2018-12-25 19:58:46 status unpacked libgpg-error0:amd64 1.26-2
2018-12-25 19:58:46 install libselinux1:amd64 <none> 2.6-3+b3
2018-12-25 19:58:46 status half-installed libselinux1:amd64 2.6-3+b3
2018-12-25 19:58:46 status unpacked libselinux1:amd64 2.6-3+b3
2018-12-25 19:58:46 status unpacked libselinux1:amd64 2.6-3+b3
2018-12-25 19:58:46 install libsemanage-common:all <none> 2.6-2
2018-12-25 19:58:46 status half-installed libsemanage-common:all 2.6-2
2018-12-25 19:58:47 status unpacked libsemanage-common:all 2.6-2
2018-12-25 19:58:47 status unpacked libsemanage-common:all 2.6-2
2018-12-25 19:58:47 install libsemanage1:amd64 <none> 2.6-2
2018-12-25 19:58:47 status half-installed libsemanage1:amd64 2.6-2
2018-12-25 19:58:47 status unpacked libsemanage1:amd64 2.6-2
2018-12-25 19:58:47 status unpacked libsemanage1:amd64 2.6-2
2018-12-25 19:58:47 install libsepol1:amd64 <none> 2.6-2
2018-12-25 19:58:47 status half-installed libsepol1:amd64 2.6-2
2018-12-25 19:58:47 status unpacked libsepol1:amd64 2.6-2
2018-12-25 19:58:47 status unpacked libsepol1:amd64 2.6-2
2018-12-25 19:58:47 install lsb-base:all <none> 9.20161125
2018-12-25 19:58:47 status half-installed lsb-base:all 9.20161125
2018-12-25 19:58:47 status unpacked lsb-base:all 9.20161125
2018-12-25 19:58:47 status unpacked lsb-base:all 9.20161125
2018-12-25 19:58:47 install liblz4-1:amd64 <none> 0.0~r131-2+b1
2018-12-25 19:58:47 status half-installed liblz4-1:amd64 0.0~r131-2+b1
2018-12-25 19:58:48 status unpacked liblz4-1:amd64 0.0~r131-2+b1
2018-12-25 19:58:48 status unpacked liblz4-1:amd64 0.0~r131-2+b1
2018-12-25 19:58:48 upgrade mawk:amd64 1.3.3-17+b3 1.3.3-17+b3
2018-12-25 19:58:48 status half-configured mawk:amd64 1.3.3-17+b3
2018-12-25 19:58:48 status unpacked mawk:amd64 1.3.3-17+b3
2018-12-25 19:58:48 status half-installed mawk:amd64 1.3.3-17+b3
2018-12-25 19:58:48 status half-installed mawk:amd64 1.3.3-17+b3
2018-12-25 19:58:48 status unpacked mawk:amd64 1.3.3-17+b3
2018-12-25 19:58:48 status unpacked mawk:amd64 1.3.3-17+b3
2018-12-25 19:58:48 install libncursesw5:amd64 <none> 6.0+20161126-1+deb9u2
2018-12-25 19:58:48 status half-installed libncursesw5:amd64 6.0+20161126-1+deb9u2
2018-12-25 19:58:48 status unpacked libncursesw5:amd64 6.0+20161126-1+deb9u2
2018-12-25 19:58:48 status unpacked libncursesw5:amd64 6.0+20161126-1+deb9u2
2018-12-25 19:58:48 install libtinfo5:amd64 <none> 6.0+20161126-1+deb9u2
2018-12-25 19:58:48 status half-installed libtinfo5:amd64 6.0+20161126-1+deb9u2
2018-12-25 19:58:49 status unpacked libtinfo5:amd64 6.0+20161126-1+deb9u2
2018-12-25 19:58:49 status unpacked libtinfo5:amd64 6.0+20161126-1+deb9u2
2018-12-25 19:58:49 install ncurses-base:all <none> 6.0+20161126-1+deb9u2
2018-12-25 19:58:49 status half-installed ncurses-base:all 6.0+20161126-1+deb9u2
2018-12-25 19:58:49 status unpacked ncurses-base:all 6.0+20161126-1+deb9u2
2018-12-25 19:58:49 status unpacked ncurses-base:all 6.0+20161126-1+deb9u2
2018-12-25 19:58:49 install ncurses-bin:amd64 <none> 6.0+20161126-1+deb9u2
2018-12-25 19:58:49 status half-installed ncurses-bin:amd64 6.0+20161126-1+deb9u2
2018-12-25 19:58:50 status unpacked ncurses-bin:amd64 6.0+20161126-1+deb9u2
2018-12-25 19:58:50 status unpacked ncurses-bin:amd64 6.0+20161126-1+deb9u2
2018-12-25 19:58:50 install libpam-modules:amd64 <none> 1.1.8-3.6
2018-12-25 19:58:50 status half-installed libpam-modules:amd64 1.1.8-3.6
2018-12-25 19:58:51 status unpacked libpam-modules:amd64 1.1.8-3.6
2018-12-25 19:58:51 status unpacked libpam-modules:amd64 1.1.8-3.6
2018-12-25 19:58:51 install libpam-modules-bin:amd64 <none> 1.1.8-3.6
2018-12-25 19:58:51 status half-installed libpam-modules-bin:amd64 1.1.8-3.6
2018-12-25 19:58:51 status unpacked libpam-modules-bin:amd64 1.1.8-3.6
2018-12-25 19:58:51 status unpacked libpam-modules-bin:amd64 1.1.8-3.6
2018-12-25 19:58:51 install libpam-runtime:all <none> 1.1.8-3.6
2018-12-25 19:58:51 status half-installed libpam-runtime:all 1.1.8-3.6
2018-12-25 19:58:52 status unpacked libpam-runtime:all 1.1.8-3.6
2018-12-25 19:58:52 status unpacked libpam-runtime:all 1.1.8-3.6
2018-12-25 19:58:52 install libpam0g:amd64 <none> 1.1.8-3.6
2018-12-25 19:58:52 status half-installed libpam0g:amd64 1.1.8-3.6
2018-12-25 19:58:52 status unpacked libpam0g:amd64 1.1.8-3.6
2018-12-25 19:58:52 status unpacked libpam0g:amd64 1.1.8-3.6
2018-12-25 19:58:52 install libpcre3:amd64 <none> 2:8.39-3
2018-12-25 19:58:52 status half-installed libpcre3:amd64 2:8.39-3
2018-12-25 19:58:53 status unpacked libpcre3:amd64 2:8.39-3
2018-12-25 19:58:53 status unpacked libpcre3:amd64 2:8.39-3
2018-12-25 19:58:53 upgrade perl-base:amd64 5.24.1-3+deb9u4 5.24.1-3+deb9u4
2018-12-25 19:58:53 status half-configured perl-base:amd64 5.24.1-3+deb9u4
2018-12-25 19:58:53 status unpacked perl-base:amd64 5.24.1-3+deb9u4
2018-12-25 19:58:53 status half-installed perl-base:amd64 5.24.1-3+deb9u4
2018-12-25 19:58:57 status half-installed perl-base:amd64 5.24.1-3+deb9u4
2018-12-25 19:58:57 status unpacked perl-base:amd64 5.24.1-3+deb9u4
2018-12-25 19:58:57 status unpacked perl-base:amd64 5.24.1-3+deb9u4
2018-12-25 19:58:57 install sed:amd64 <none> 4.4-1
2018-12-25 19:58:57 status half-installed sed:amd64 4.4-1
2018-12-25 19:58:57 status unpacked sed:amd64 4.4-1
2018-12-25 19:58:57 status unpacked sed:amd64 4.4-1
2018-12-25 19:58:58 install sensible-utils:all <none> 0.0.9+deb9u1
2018-12-25 19:58:58 status half-installed sensible-utils:all 0.0.9+deb9u1
2018-12-25 19:58:58 status unpacked sensible-utils:all 0.0.9+deb9u1
2018-12-25 19:58:58 status unpacked sensible-utils:all 0.0.9+deb9u1
2018-12-25 19:58:58 install login:amd64 <none> 1:4.4-4.1
2018-12-25 19:58:58 status half-installed login:amd64 1:4.4-4.1
2018-12-25 19:58:59 status unpacked login:amd64 1:4.4-4.1
2018-12-25 19:58:59 status unpacked login:amd64 1:4.4-4.1
2018-12-25 19:58:59 install passwd:amd64 <none> 1:4.4-4.1
2018-12-25 19:58:59 status half-installed passwd:amd64 1:4.4-4.1
2018-12-25 19:59:02 status unpacked passwd:amd64 1:4.4-4.1
2018-12-25 19:59:02 status unpacked passwd:amd64 1:4.4-4.1
2018-12-25 19:59:02 install libsystemd0:amd64 <none> 232-25+deb9u6
2018-12-25 19:59:02 status half-installed libsystemd0:amd64 232-25+deb9u6
2018-12-25 19:59:02 status unpacked libsystemd0:amd64 232-25+deb9u6
2018-12-25 19:59:02 status unpacked libsystemd0:amd64 232-25+deb9u6
2018-12-25 19:59:02 install libudev1:amd64 <none> 232-25+deb9u6
2018-12-25 19:59:02 status half-installed libudev1:amd64 232-25+deb9u6
2018-12-25 19:59:02 status unpacked libudev1:amd64 232-25+deb9u6
2018-12-25 19:59:02 status unpacked libudev1:amd64 232-25+deb9u6
2018-12-25 19:59:02 install sysvinit-utils:amd64 <none> 2.88dsf-59.9
2018-12-25 19:59:02 status half-installed sysvinit-utils:amd64 2.88dsf-59.9
2018-12-25 19:59:02 status unpacked sysvinit-utils:amd64 2.88dsf-59.9
2018-12-25 19:59:02 status unpacked sysvinit-utils:amd64 2.88dsf-59.9
2018-12-25 19:59:02 install tar:amd64 <none> 1.29b-1.1
2018-12-25 19:59:02 status half-installed tar:amd64 1.29b-1.1
2018-12-25 19:59:03 status unpacked tar:amd64 1.29b-1.1
2018-12-25 19:59:03 status unpacked tar:amd64 1.29b-1.1
2018-12-25 19:59:03 install tzdata:all <none> 2018g-0+deb9u1
2018-12-25 19:59:03 status half-installed tzdata:all 2018g-0+deb9u1
2018-12-25 19:59:09 status unpacked tzdata:all 2018g-0+deb9u1
2018-12-25 19:59:09 status unpacked tzdata:all 2018g-0+deb9u1
2018-12-25 19:59:09 install libustr-1.0-1:amd64 <none> 1.0.4-6
2018-12-25 19:59:09 status half-installed libustr-1.0-1:amd64 1.0.4-6
2018-12-25 19:59:09 status unpacked libustr-1.0-1:amd64 1.0.4-6
2018-12-25 19:59:09 status unpacked libustr-1.0-1:amd64 1.0.4-6
2018-12-25 19:59:09 install bsdutils:amd64 <none> 1:2.29.2-1+deb9u1
2018-12-25 19:59:09 status half-installed bsdutils:amd64 1:2.29.2-1+deb9u1
2018-12-25 19:59:10 status unpacked bsdutils:amd64 1:2.29.2-1+deb9u1
2018-12-25 19:59:10 status unpacked bsdutils:amd64 1:2.29.2-1+deb9u1
